"User","Comment","Rating","Date"
"AaronCapenBanner","Third and last(?) film in this trilogy isn't as good as the first two, mainly because the plot is overly contrived, but I still found this to be very entertaining and filled with good action and character development.Plot has Peter Parker's romance with Mary Jane threatened by the simultaneous arrival of Super-villains Sandman(Thomas Haden Church, good performance) and mysterious alien black goo that latches onto Peter and develops his dark side, which nearly wrecks his life, and rival reporter Topher Grace, who also comes into contact with the alien menace, and becomes Venom.Large scale action climax is still satisfying and fitting, with Peter and Mary Jane back on the path to mutual happiness in a bright future together...I hope, since the planned Part IV was scrapped unfortunately...A shame.","7","25 August 2013"
"0U","And of course the rumor of three good movies in the franchise was not true. We have two incredible movies and then we have this one. It's definitely the lesser of the three and that says a lot, because its predecessors we're fantastic. The movie struggles to find out what it's really about and we get a movie filled with too many villains that doesn't get enough screentime, and maybe some of them shouldn't have had any at all. The acting is a little edgy this time around, but I think that's because of the script and the constant rewriting of it. It bugs me a little, because this could have easily been the definitive ""Spider-Man"" if Raimi had just removed some things from the movie and maybe added a couple of more good lines to the script.","7","24 February 2020"
"ivo-cobra8","I am fan of Spider - Man since my whole childhood, i been watching series of the cartoons. The third installment of Spider - Man franchise is darker than the first two movies were but still dose not ruined and dose get a job don well!! Before i start writing review about this movie , i wanna talk about the new movie The Amazing Spider-Man (2012) the new movie of Spider - Man is awfully horrible boring and wrong. It truly disappointed me. I have been watching the new movie on DVD than i went watching Spider - Man 3 on DVD this movie i am writing a review about it, i only saw this movie once and the first time i didn't give it 10 stars i was actually bored by this film and disappointed about Harry as the villain and that he died Marry Jane broke up with Peter and he become dark but the movie was still enjoyable after i saw how awful badly the new spider - man is i went watching this movie and you know what? It was million times better than the new amazing Spider - crap was. Sam Raimi's trilogy was much much better than Marc Webb's movie is, Webb's movie is awful. I watched the first original movie Spider - Man back in 2003 when my mom bought me original video cassette that was before DVDs and Blu Rays were on this world and i absolutely loved it. When in 2004 was released Spider - Man 2 i bought video cassette right away. Sequel to this movie was supremely good, but it did not compare to the first movie. Then after my huge expectations for, ""Spider - Man 3"", Sam Raimi blew my expectations to the dust. Will the same happen with the 3rd and last film, ""Spider - Man 3""? Quite simply, Yes! In 2005 when i hear about the third and last movie of Spider - Man that they where shooting i knew that Tobey Maguire had problems in his personal life and how media was judging him, i step on his side right away and this movie did made an awesome job in 2007. About The Amazing Spider-Man (2012) that movie was really shocking and completely different than Sam Raimi's trilogy was. The only good thing in that movie was The Lizard aka Dr. Curt Connors but the whole movie was really true disappointment and insult for every true Spider - Man fan. A lot of people were criticizing and judging this movie but in my opinion this movie is well made. Think before you judge an threw away a gold of movie and see the new movie and you will see the difference. This movie is a million times much better.Andrew Garfield really isn't for the role of Peter Parker as Spider - Man i hear that they are planing new movie another sequel for The Amazing Spider-Man? Please god no! The third and last movie of Sam Raimi's trilogy is an epic conclusion to an amazing awesome super hero. I will rather watch this movie than the new spider - crap movie. I am not buying the new movie no thank you. I watch awhile ago Spider - Man 2 and it was so great movie i really loved it. Today i order it Spider - Man 1 and 3 original DVD it will come tomorrow i don't have these two movies on DVD. I am also giving a higher rank for this movie than the new one. Just one thing how come this movie got only 6.3 stars while the new movie got 7? that make no sense to me. A great ride from Sam Raimi thank you! 10 out of 10 Stars!The film contains a fine cast of talented actors. Tobey Maguire, of course still makes as a great Spider - Man . James Franco is fantastic, as he always is. He gives such a powerful performance, he really ought to be considered for an Oscar nomination.Topher Grace as Venom/Eddie Brock is utterly terrifying, at times, and completely ominous.. Kirsten Dunst as Mary Jane Watson is a scene stealer. She is completely engrossing and awesome. Thomas Haden Church as Sandman/Flint Marko is terrific. Bryce Dallas Howard as Gwen Stacy is brilliant much, much better than Emma Stone is. Actress Bryce is also beautiful,pretty hot. At last and least Rosemary Harris as aunt May Parker was terrific and fabulous outstanding in her performance. Sally Field got a poor script and she barely talks in Amazing Spider - Man. Everyone is so great, the dynamic scenes between the actors and actresses are so well done, so well written, and so well directed. Spider - Man 3 is emotionally riveting and amazing to view.In conclusion, this film is a gorgeous reminder that great writing and direction can enhance any movie-going experience, even superhero movies, which are usually thought of as mindless entertainment. 10/10","7","6 December 2012"
"gavin6942","This film has received a bad rap from many people. I feel I have to defend it. While I am not big on special effects and CGI, I will set those aside for the moment.Anyone who grew up reading Spider-Man should know that putting 40 years of comic history into a movie (or 3) is a hard task. But I feel like they succeeded here. Venom comes across pretty accurately considering how much they had to truncate it, and the Sandman is decent despite some interesting modifications.The biggest problem I had with this film is that if they do not make a fourth, they leave open too many plot lines. And, as far as I know, no such film is in the works. But that is more an issue of the studio, I think.","7","17 April 2011"
"Ch4ndler_B1ng","This movie is hilarious. On release, most things were cringe and nowadays people would probably consider this a genius work of art. The whole ""Emo Peter"" thing has made some real comedic gold and ""give me rent"" ""You'll get your rent when you fix this da** door!!"" As an actual movie, not so great, Venom wasn't done well and some acting was pretty poor... it does have one really emotional scene when Harry Osborne dies (oopS minor spoilerS) Kirsten Dunst's MJ is really whiny, the whole damsel in distress thing really got on my nerve sometimes, like get it together woman! I guess you could look at Spider Man 3 as a dark comedy kind of like Evil Dead 2 (another Sam Raimi movie). It is by far the most fun Spider Man movie, I was fully entertained throughout its entire run time even if it wasn't flawless or the best spiderman movie. If you hate this movie remember what a wise emo Peter once said ""Want forgiveness? Get religion.""","8","21 December 2021"
"OMTR","The third and final episode of Sam Raimi's Spider-Man Trilogy is just as perfect as the first two parts. Spidey and his loved ones plunge into darkness, go the distance, and make real friendship and love triumph in the end. Because ""With great power comes great responsibility"", and ""Whatever comes our way, whatever battle we have raging inside of us, we always have a choice. It is our choices that makes us who we are, and we always have a choice to do what's right ~ Let love and forgiveness reign.""","10","5 January 2020"
"James0987","Is this a great movie? No not really, but it is a very enjoyable movie to watch that has been memed to all hell for good reason. There are a lot of interesting directing choices in this film but I've never seen anything else's like it.10/10 would watch again.","10","22 December 2021"
"kristianlepka","Yes, Spider Man 2 had a better story, but this is having none of that. This is pure camp and I love every second of it. The lines emo Peter says are legendary, all the things at that point just go instantaneously from 0 to a 100. The fights are actually really good too, I can't see why people view this film so badly? Maybe because it just isn't as serious as the previous ones, but that doesn't have to mean it's bad. I laughed from start to finish and therefore it's much more memorable than Spider Man 1 and 2.","8","14 December 2021"
"ccthemovieman-1","I suppose a film like this will fall into one of two categories for fans of this series: either this was the best of the three or the worst. My vote goes to it being the ""best"" although I prefer Superman and Batman over Spidey in the superhero category, anyway. However, I did find this movie extremely entertaining. Silly? Yes, but it's a Marvel Comics cartoon-come-to-life, so anything goes. A little too long? Probably.....yet I was never bored watching this, and I - and I assume most people - certainly got their money's worth for action, special effects, cool villains, romance, sentiment, good vs. evil, revenge vs. forgiveness, etc. Even two main characters: Spider-Man and his pal Harry - both had two different personalities in this story. There is so much material packed into this movie, it almost too much for one sitting. The film can wear you out!.Myself, I thought ""The Sandman"" was the coolest part of this movie. I've read a few of the comic books and thought he was the most interesting of the villains so I was curious to see how he'd be presented in here. I was not disappointed. His scenes were awesome!This is a rare film: a ton of action and, at the end, a sincere message of forgiveness, not revenge, being the answer. Wow, is that refreshing to hear. Yes, the revenge is more fun......but never as satisfying. For a little over two hours of totally escapist entertainment, this fills the bill.","9","4 November 2007"
"TheLittleSongbird","By all means, Spider-Man 3 is not a bad movie, but the many flaws with the film make it the weakest of the series. But it is still enjoyable, however I did think the first two were better in terms of plot, characterisation and pacing. Well, there are a lot of good things. Out of the three films, this one is the best visually. The look of the whole film is mind blowing, with splendid special effects, brilliantly choreographed fight sequences and spectacular set pieces. The music is excellent, and the direction was efficient enough.And the acting is very good, Tobey Maguire and Kirsten Dunst are appealing as Peter and Mary-Jane and Rosemary Harris sparkles as Auntie May. Topher Grace is great as Brock but underused as Venom, but as Sandman Thomas Haden Church was note perfect and the best developed of the villains. James Franco is an improvement as Harry, and Bryce Dallas Howard is delightfully photogenic as Gwen Stacey. I loved JK Simmons as Jameson, in all three Spider-Man movies he stole every scene he appeared in.However, there are a number of things that made it inferior to the first two. Basically and most importantly, and this was a similar problem I had with Pirates of the Caribbean:At World's End, it all felt a bit bloated. Two reasons made it so. One was too many characters. Primarily the villains, here, we get not one but three villains. While they were well performed, the character development of the villains felt rushed. Venom especially had way too little screen time as a result, and the final showdown between them felt a tad on the contrived side. Whereas you felt the menace of the Green Goblin and the tragedy of Dr Octopuss you are not always sure what to think here. Second, the plot as result to cramming too much in particularly with the idea of Spider-Man turning bad was rather convoluted, and was further disadvantaged by some surprisingly stodgy pacing. Other flaws were that the scripting lacked freshness and authenticity and the film was a bit too long.All in all, it certainly wasn't bad. As a matter of fact it was enjoyable. But it could've been better. 6/10 Bethany Cox","6","16 January 2010"
