"User","Comment","Rating","Date"
"darapjohnson","First time I watched this I fell asleep about 50+ minutes in because I just didn't find it as good as Tobey Maguire's Spider-man, or hell, even The Amazing Spider-man and I found Tom Holland's character in general, annoying and too childlike in comparison to the other Spider-men. It just didn't appeal to me... at all, whatsoever. The only reason I forced myself to watch it now is because i'm on a MCU marathon so I finished it. It just was not good for me personally. Although I can appreciate the CGI and soundtrack and other stuff which spikes it up to 3 stars I guess, but meh. Also that villain was one of the most boring characters to ever hit the screen in an MCU movie (can't even remember his name, that should tell you everything right there)","4","25 September 2022"
"BA_Harrison","I had a reasonably fun time with Spiderman Homecoming, but I have a few big issues that prevent me from loving it...Firstly, Peter Parker's vulnerability/invulnerability. There's a scene where Spiderman bangs his head on the roof of a truck, knocking himself unconscious, yet later on in the film, a couple of tons of concrete and steel land on the lad's head with no lasting damage. Not long after, Peter falls to the ground from a crashing jet (presumably travelling at a couple of hundred miles an hour) and gets up without a problem. Concussion one minute, indestructible the next!Spiderman's strength is inconsistent too: Peter is holding together two halves of the Staten Island ferry in one scene, but later he is struggling to free himself from some rubble.I also have a problem with The Avengers' very lax approach to shifting their equipment to new premises: Happy (Jon Favreau) loads all of the Avenger's weapons/armour onto an unmanned aircraft - not one person to guard it. Of course, this suited the plot, but it was extremely daft. Surely a couple of superheroes could have taken time out from saving the world to escort the precious cargo.Last moan: did Spidey really need a high-tech suit equipped with AI and special assault modes? I thought Spiderman relied on Spidey sense.On a more positive note, I enjoyed Peter's trials and tribulations at high-school, and thought that the twist revelation about the true identity of Vulture was well handled (I didn't see it coming). The special effects are, as always, very impressive, and Director Jon Watts handles the action well enough, but Sam Raimi needn't worry: his first two Spiderman movies remain the best.","6","4 July 2019"
"pyrocitor","Spider-Fans are a thick-skinned lot. And, in watching his attempts to crawl onto the big screen, we've taken some gut-punches. From the early, fun-but-twee Sam Raimi days to the murky, Marc Webb hipster days (to say nothing of the nightmare of 'Dancing Emo Peter' - a farce of idiocy the character will be lucky to ever shrug off), we've watched our boy take more beats than a bout with Doctor Octopus. So, even finally(!) reacquainted with his REAL parents - a Marvellous accomplishment in itself - dare we hope? In the face of so much misguided corporate overreach, hackneyed tonal imbalance, flagrant disregard for comic backstory, and (shudder) hip-thrusts, dare we dream the dream of a half-decent cinematic Spider-Man, for the first time in more than some viewers' lifetimes? Rest easy, true believers: Homecoming is the best Spider-Man movie ever made. Right from the playful strains of a certain familiar theme over the opening logos, it's immediately apparent that Marvel Studios have not treated the reacquisition of their most beloved character lightly. Director Jon Watts' film practically leaps off the screen with a bouncy, mischievous energy, snappy humour, and such a sheer outpouring of joy at its own existence (no tired teen angst here!) that it's nigh impossible to resist grinning from start to finish. In contrast to the increasingly cosmic Marvel Cinematic Universe growing around it, Homecoming is winningly small and intimate: not only does Watts paint a love letter to the rough and tumble charm of Queens and its inhabitants, but the film's stakes are not the fate of the world or universe, but, appropriately, the neighbourhood becoming less friendly. It's a hugely welcome tonic to blockbuster bloat, and the rare summer romp with space for characters to breathe. Watts channels Parker's bustling eagerness for a higher calling into one of the most organic, truthful depictions of a modern high school, with a John Hughes ear for its stresses, infantilization, and small joys. One sequence, where Peter wrestles with the ethics of crashing a party as Spider-Man to raise his social standing to help bag a date to the titular dance, is so adorably true to the character it's hard not to shed a tear in gratitude. It's telling that we know and care more about Parker's high school classmates than many of the B-tier, celebrity-cast superheroes in the MCU, and Laura Harrier, Zendaya, Tony Revolori (whose Flash, while no longer a jock, hits terribly credible cringeworthy notes of modern bullying), and especially Jacob Batalon (who sells many of the film's comedic and emotional beats with surprisingly hilarious aplomb) flesh them out superbly. Paradoxically, the film's grounded aesthetic also helps blend it into the MCU much more seamlessly than many of its cohort, reframing the MCU's macro conflicts through a nonplussed ground level (upon an exquisitely tongue-in-cheek Chris Evans cameo, Parker's teacher deadpans ""or maybe he's a war criminal now. I dunno""), while the House of Mouse cheerfully works in Star Wars swag at every turn. But, in the midst of this uncharacteristically unassuming 'world-building,' for Marvel, the fun and thrills have not been left crammed into a locker. Watts' action interludes are fizzy, raucous, clumsy (one car chase has Peter destroying - and chatting with - most of Queens in his inexperienced tenacity), and just as exhilarating as any of the bigger, brawnier Marvel counterparts. If anything, Watts infuses his blowouts with such worry Peter is in way over his head (his heroic intervention to the crumbling Washington Monument is interrupted by a panic attack from the altitude), that emotions are unprecedentedly ratcheted up for superhero combat. Even initial concerns of Spider-Man being too governed by Stark tech melt away in the face of Parker's unquenchable enthusiasm in the face of his costume's wacky potential, as his stacked super-suit cues many of the film's biggest laughs (two words: 'Intimidation Mode'), while Michael Giacchino's twinkling score soars and lilts with the quintessence of Spider-Man. Michael Keaton's Vulture is unexpectedly terrifying, adding a uniquely aerodynamic to keep their tussles fresh and thrilling. Keaton's idiosyncratic, bristling, and grimly heartfelt performance (a righteously indignant 'working class hero' antithesis to Tony Stark) takes what could have been another bland, disposable villain and makes him one of the most deceptively memorable and compelling of the MCU. There are the slightest wobbles in the web - the Shocker is fun but a touch underwhelming for such a cult classic Spider-foe, while Donald Glover's cameo is amusing but superfluous. But in the face of the film's relentless outpouring of fun and heart, including a third act twist as astonishingly unexpected as it is retroactively self- evident, they are less than inconsequential. And there is one sequence, ripped from the comic pages of the Lee/Ditko days, that is almost overwhelmingly emotional, anchoring the core 'tireless underdog' ethos of Spider-Man in tearfully perfect fashion. And Tom Holland. Dear Tom Holland. To call his impish, earnest charisma perfect for Peter Parker would be an understatement - he's almost achingly affable and human in and out of homespun or high tech costume, with a flair for pitch-perfect Spider-quips, raw vulnerability, and self-reproachful asides that are almost too lovable for words. In short, he is Spider-Man through-and-through. Supporting him, Robert Downey Jr. continues to find unexplored wrinkles in his eighth time embodying Tony Stark, and his clumsy 'Uncle Tony' mentoring (""my dad was never there for me, so, uh, breaking the cycle of shame"") is hugely amusing without overstaying his welcome. Marisa Tomei is too effervescently delightedly not to larb as Aunt May (now with more charm and less life lessons! Yay!), while Jon Favreau is reliably hilarious as the crusty Happy Hogan. Homecoming doesn't just do whatever a spider can - it redefines Spider-Man while showing unprecedented care and affection for what makes the character tick, all while teeming with humour, heart, humanity, and infectious fun. Soak it in, Spider-Friends. He's home. -9.5/10","10","15 July 2017"
"JoBloTheMovieCritic","9/10 - such a fun and refreshing comic book film that has incredible rewatchability.","9","20 July 2019"
"randreww","After the more adult cliff hanger of the last film, one would expect Spider-man to follow a more mature & intelligent return than this spin-off slop! 
What is this? Spider-Kid?All the action is virtually impossible to follow as per the trite ""shaky cam"" technique & the score is forgettable. Characters exclaim at one another as the script kills brain cells. But seriously! This toddler looks so silly in the custom I'm surprised his sleeves down drape over his hands!","2","20 September 2018"
"Anurag-Shetty","Spider-Man: Homecoming continues with the adventures of Peter Parker/Spider-Man(Tom Holland), following the events of Captain America: Civil War(2016). Peter juggles his high school life & his crime fighting life, as Spider-Man. He has help from Tony Stark/Iron Man(Robert Downey Jr.). Peter's life gets complicated when Spider- Man faces his most formidable adversary yet, Adrian Toomes/Vulture(Michael Keaton). Now, it is up to Spider-Man to stop the Vulture, before it's too late. Spider-Man: Homecoming is a spectacular film. It is the best Spider- Man movie, yet. Director Jon Watts makes sure that the audience sees a different side of Spider-Man, that wasn't seen in any of the previous big screen incarnations of the character. I love the fact that the focus was on Peter Parker's high school life, this time around. The action set pieces are awe-inspiring. The Washington Monument scene, the Staten Island ferry scene & the climax are the highlights of the film. The visual effects are mind blowing. The 3D is eye-popping. I love the fact that we get to see Spidey's iconic red & blue suit from the comics, complete with the web glider & expressive eye visors. The background score by Michael Giacchino sticks with you, long after the film ends. The performances make the movie, flawless. Tom Holland is the star of the show, as Peter Parker/Spider-Man. Holland portrays Peter Parker's awkwardness & vulnerability & Spider-Man's wit & flexibility, with ease & panache. Michael Keaton is outstanding as Adrian Toomes/Vulture. Keaton's Vulture is the best villain in all six standalone Spider-Man movies, along with Willem Dafoe's portrayal of Green Goblin/Norman Osborn. Robert Downey Jr. is great as Tony Stark/Iron Man. Marisa Tomei is brilliant as May Parker. Jon Favreau is superb as Happy Hogan. Zendaya is awesome as Michelle. Jacob Batalon is fantastic as Ned. Laura Harrier is excellent as Liz. Tony Revolori is hilarious as Flash. Donald Glover, Bokeem Woodbine, Hannibal Buress, Kenneth Choi, Martin Starr, Michael Chernus, Michael Mando, Logan Marshall-Green & Jennifer Connelly are good as, Aaron Davis, Herman Schultz/Shocker #2, Coach Wilson, Principal Morita, Mr. Harrington, Phineas Mason/The Tinkerer, Mac Gargan, Jackson Brice/Shocker #1 & Karen/Suit Lady, respectively. The Marvel Cinematic Universe can do no wrong. I can't wait for Spidey's return, in Avengers: Infinity War(2018). Spider-Man: Homecoming is a must watch, for everyone. Swing by your favorite theater, immediately!","10","7 July 2017"
"BoilerYor","Marvel Studios is the cinematic equivalent of McDonald's. Crushing any creativity and selling their version of Happy Meals at record quantity but no quality.Despite my gripes with the Raimi trilogy, it showed at least some, if misguided, sense of authorship. This however is bland and forgettable. Everything from acting to directing is average at best. Even Michael Keaton, who is usually great and can play a good villain: see Desperate Measures and Pacific Heights, is just phoning it in.Completely forgettable.","2","27 August 2021"
"MLDinTN","In this version of spiderman, it's like marvel just said screw the comics. We'll just make up a bunch of stuff. There is no Uncle Ben, and Aunt May is way to young. Peter isn't into photography. And where does Iron Man fit into a Spiderman movie. Also, since this movie is like a reboot with Peter back in high school and only 15, I would have liked to see the movie show how Peter developed his powers. The movie could have had Peter tell Ned the story of how he got spider powers in flashbacks. The story just pales in comparrison to the first Spiderman movie. I did like the Vultures costume and special effects with him. But Spiderman's suit is all gadetted out and I didn't think that ever happened.FINAL VERDICT: Not that great compared to some of the other Spidey films. The best part about the film was the jokes.","4","10 March 2018"
"claudio_carvalho","""Spider-Man: Homecoming"" is the worst Spider Man ever made, totally overrated, long, boring and unfunny. The annoying lead actor Tom Holland, has an irritating tone of voice. The screenplay and the actor unsuccessfully try to be funny, but unfortunately nothing works in this film that looks like a spoof, at least for an adult. My vote is one (awful).Title (Brazil): ""Homem-Aranha: De Volta ao Lar"" (""Spider-Man: Homecoming"")","1","21 October 2017"
"Sleepin_Dragon","A young Peter Parker battles the everyday problems of a teenage student, whilst his alter ego, Spiderman battles a major threat.I am surprised to see so many one and ten star reviews for this film, I honestly don't quite see how it could create such passion for or against, for me it was a pretty decent money, but in the grand scheme of Spider man movies, many are superior, some are decidedly inferior.I wonder if this one will be influenced by age, I think a younger audience will have more love for it, I think some mature viewers may find it a little childish at times, some of the dialogue will have you cringing.Initially I was expecting someone to give Spiderman a little spidey dummy/pacifier, initially I found it frustrating, but I'm glad I stick with it, as it does improve. The ending is the best bit, I think you really do see Spiderman mature.Tom Holland was very good I thought, a fine, energetic performance, the script was challenging at times.Some nice action sequences, and a pretty good story, I did appreciate the acting of Michael Keaton, and the impact of Robert Downey Junior, I wish we'd seen more of him.6/10.","6","20 December 2022"
